;Provincias;Porcentaje con dispositivos;Familia monoparental con 0 hijos;Familia monoparental con 1 hijo;Familia monoparental con 2 hijos o más;Pareja casada con 0 hijos;Pareja casada con 1 hijo;Pareja casada con 2 hijos o más;Pareja no casada con 0 hijos;Pareja no casada con 1 hijo;Pareja no casada con 2 hijos o más
0;Albacete;4.314061590196861;7262;15905;9786;66842;38649;56120;11338;6247;7033
1;Alicante/Alacant;4.036059976402042;46286;106182;50846;371095;180545;233971;73675;42475;22805
2;Almería;6.713842035208567;12367;36792;17348;118470;65774;103918;24407;16456;12945
3;Araba/Álava;10.445423882543011;6453;18609;8642;62806;30008;38515;13852;7208;4968
4;Asturias;5.0313676562166485;34988;70807;21841;224656;115520;81680;40912;14393;9763
5;Badajoz;4.284820916745457;14361;29014;12949;121805;70629;97260;16957;14271;7080
6;Barcelona;6.148334823194686;120659;347510;179897;967663;499599;648204;293813;121598;116402
7;Bizkaia;5.066981026531365;25394;62956;31569;226677;114228;128112;42313;18972;13973
8;Burgos;5.041191843882249;8599;16938;5985;68923;35413;42646;9422;7218;3463
9;Cantabria;3.4500259908233972;17094;37359;15075;113535;62210;61318;20887;9757;9354
10;Castellón/Castelló;4.248335365281815;9382;23291;13869;114914;60108;74468;20831;12644;8609
11;Ciudad Real;4.2337207090981055;7743;16385;11048;99010;50926;74600;12306;5141;4679
12;Coruña, A;3.7637144810503718;33721;59492;25961;238346;127329;103807;41002;26180;15589
13;Cuenca;4.592573977508325;4566;7384;3919;41004;17659;26232;6321;3583;3180
14;Cáceres;4.7267928274793265;8645;19078;8183;80081;41838;45001;11879;6463;5052
15;Cádiz;8.209187456271342;29116;69819;33594;199837;134399;174797;35180;28806;25887
16;Córdoba;6.240187873833897;15913;36549;22261;146769;81616;115240;20025;6712;6404
17;Gipuzkoa;5.352706704655504;17259;32638;16566;136458;67523;93266;21505;12441;12528
18;Girona;5.622456412346883;17675;35176;17093;135380;70404;93592;28934;22254;18202
19;Granada;6.498633545656589;20155;51171;25186;156338;87291;121948;35085;19543;16195
20;Guadalajara;7.19346102519821;4371;11555;6251;41900;27606;36256;11440;3946;4864
21;Huelva;7.828205305948643;9467;27073;10571;96253;55776;71385;13306;8045;11254
22;Huesca;5.696279912416223;5488;10237;4398;41697;22585;25656;11051;5263;2938
23;Jaén;4.6103677505445075;14737;27569;15338;116142;68973;91052;14526;6543;8629
24;León;4.7350366749387085;13970;30242;7566;98451;49441;40223;13997;6955;4332
25;Lleida;4.726341316583086;10271;27961;13704;74397;43029;49394;17792;7689;6866
26;Lugo;2.8206825804480204;11693;21298;5179;74559;38723;25656;9043;4848;2658
27;Madrid;7.618574712083433;141453;361231;164641;1131838;640177;853849;322822;138936;115263
28;Murcia;4.774558746962079;29385;76195;38017;239990;142183;235812;50603;32161;20986
29;Málaga;6.0583362707084945;40545;85566;55522;293144;162233;215380;74031;33962;27054
30;Navarra;6.4650613385626166;13993;32892;15848;110171;60350;93767;25419;9791;8335
31;Ourense;2.8646559323694065;9953;20673;4834;74918;30533;23135;11072;6320;3266
32;Palencia;4.656689478829811;4130;7155;3413;32782;14809;16651;4939;2874;1865
33;Pontevedra;3.6229160514376226;27336;58809;21166;194787;104852;98930;27608;26713;12386
34;Rioja, La;4.419237127381597;6293;16118;8758;61715;31582;39475;10677;5118;3395
35;Salamanca;4.042366773596371;9640;17503;8387;70979;32378;32893;8132;5906;3599
36;Segovia;4.45177769668893;4256;6999;3657;28743;14861;19449;4758;2950;2284
37;Sevilla;12.301336612791774;41593;101167;60700;323759;192809;284068;61532;40637;36333
38;Soria;9.921941376380628;2177;3686;1694;17460;8210;9590;2521;1543;2293
39;Tarragona;5.281246455102047;17806;44534;22429;156253;83158;93805;28023;25214;13532
40;Teruel;5.284367535238234;2966;6306;2016;27916;13909;16689;2459;1473;2240
41;Toledo;4.016496934231516;12789;31468;12639;122127;68126;103361;24771;16913;11678
42;Valencia/València;3.6176838115770105;61665;147079;63244;445566;272206;343062;81172;50476;32914
43;Valladolid;3.979309406052906;12598;23569;11211;106935;53676;56034;18424;13168;8148
44;Zamora;3.3244380717197064;4692;8753;2958;40661;17485;15251;4344;2966;1314
45;Zaragoza;6.7367665658089955;18856;50303;21601;174067;99911;115771;41132;16694;13234
46;Ávila;4.210416883251898;4257;8438;3230;32435;16530;17544;3502;2362;2469
