Comunidades Autónomas;Año;Total
Andalucía;2022;1.653.989
Andalucía;2021;941.599
Andalucía;2019;637.486
Andalucía;2017;603.104
Andalucía;2015;572.742
Aragón;2022;736.139
Aragón;2021;477.683
Aragón;2019;327.440
Aragón;2017;294.327
Aragón;2015;317.739
Asturias, Principado de;2022;936.136
Asturias, Principado de;2021;543.877
Asturias, Principado de;2019;316.955
Asturias, Principado de;2017;304.714
Asturias, Principado de;2015;327.559
Cantabria;2022;377.849
Cantabria;2021;233.187
Cantabria;2019;142.352
Cantabria;2017;152.876
Cantabria;2015;154.383
Castilla y León;2022;873.255
Castilla y León;2021;522.358
Castilla y León;2019;422.607
Castilla y León;2017;379.885
Castilla y León;2015;380.329
Castilla - La Mancha;2022;699.022
Castilla - La Mancha;2021;384.581
Castilla - La Mancha;2019;285.015
Castilla - La Mancha;2017;255.498
Castilla - La Mancha;2015;240.499
Cataluña;2022;3.059.538
Cataluña;2021;1.889.476
Cataluña;2019;1.414.503
Cataluña;2017;1.438.588
Cataluña;2015;1.454.723
Comunitat Valenciana;2022;1.556.787
Comunitat Valenciana;2021;947.187
Comunitat Valenciana;2019;668.364
Comunitat Valenciana;2017;646.801
Comunitat Valenciana;2015;622.121
Extremadura;2022;257.564
Extremadura;2021;154.976
Extremadura;2019;93.373
Extremadura;2017;81.367
Extremadura;2015;73.117
Galicia;2022;955.804
Galicia;2021;779.525
Galicia;2019;564.851
Galicia;2017;542.677
Galicia;2015;551.790
Madrid, Comunidad de;2022;580.695
Madrid, Comunidad de;2021;376.289
Madrid, Comunidad de;2019;341.159
Madrid, Comunidad de;2017;307.462
Madrid, Comunidad de;2015;309.014
Murcia, Región de;2022;482.986
Murcia, Región de;2021;293.225
Murcia, Región de;2019;209.575
Murcia, Región de;2017;255.958
Murcia, Región de;2015;193.693
Navarra, Comunidad Foral de;2022;521.745
Navarra, Comunidad Foral de;2021;303.979
Navarra, Comunidad Foral de;2019;236.759
Navarra, Comunidad Foral de;2017;214.039
Navarra, Comunidad Foral de;2015;212.486
País Vasco;2022;1.435.585
País Vasco;2021;940.939
País Vasco;2019;608.529
País Vasco;2017;658.736
País Vasco;2015;674.658
Rioja, La;2022;109.882
Rioja, La;2021;52.543
Rioja, La;2019;48.249
Rioja, La;2017;44.637
Rioja, La;2015;44.195
