Provincias;Cluster
Albacete;1
Alicante/Alacant;1
Almería;2
Araba/Álava;0
Asturias;1
Badajoz;2
Barcelona;0
Bizkaia;0
Burgos;1
Cantabria;1
Castellón/Castelló;1
Ciudad Real;2
Coruña, A;2
Cuenca;1
Cáceres;1
Cádiz;0
Córdoba;2
Gipuzkoa;0
Girona;2
Granada;2
Guadalajara;1
Huelva;1
Huesca;1
Jaén;2
León;1
Lleida;2
Lugo;2
Madrid;0
Murcia;2
Málaga;2
Navarra;0
Ourense;2
Palencia;1
Pontevedra;2
Rioja, La;1
Salamanca;1
Segovia;1
Sevilla;0
Soria;1
Tarragona;2
Teruel;1
Toledo;2
Valencia/València;2
Valladolid;1
Zamora;1
Zaragoza;0
Ávila;1
